Expression,Gene/protein,Expression analysis,Expression value,adj P-value,P-value,Virus,Host,Sample,Condition,Methodology,Approach,Reference
Up,CXCL10,Fold-change,8.3,-,0.007,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587699"
Up,CD59,Fold-change,3.4,-,0.018,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587700"
Up,CLEC4E,Fold-change,2.5,-,0.025,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587701"
Up,FcGP1A,Fold-change,16.39,-,0.001,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587702"
Up,GBP1,Fold-change,20,-,0.004,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587703"
Up,IFI27,Fold-change,50,-,0.018,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587704"
Up,IFI44,Fold-change,3.48,-,0.02,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587705"
Up,IFIH1,Fold-change,10.98,-,0.023,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587706"
Up,IFIT1,Fold-change,20,-,0.01,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587707"
Up,ISG15,Fold-change,5.6,-,0.035,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587708"
